order_id,order_date,account_id,sku_id,quantity_cases,unit_price,discount_pct,net_revenue
ORD002243,2024-07-01,ACC0019,SKU0029,9,23.27,0.0,209.43
ORD001146,2024-07-01,ACC0025,SKU0018,16,225.26,0.0,3604.16
ORD001219,2024-07-01,ACC0002,SKU0013,6,126.08,0.0,756.48
ORD001788,2024-07-01,ACC0034,SKU0027,15,23.84,0.0,357.6
ORD000497,2024-07-01,ACC0042,SKU0022,4,36.32,0.0,145.28
ORD002077,2024-07-01,ACC0055,SKU0011,1,114.26,0.0,114.26
ORD002550,2024-07-01,ACC0027,SKU0029,5,25.11,0.0,125.55
ORD001299,2024-07-02,ACC0060,SKU0011,3,120.1,10.0,324.27
ORD000354,2024-07-02,ACC0003,SKU0004,5,45.27,15.0,192.4
ORD000534,2024-07-02,ACC0022,SKU0029,1,25.89,0.0,25.89
ORD001563,2024-07-02,ACC0038,SKU0011,1,126.05,0.0,126.05
ORD000388,2024-07-02,ACC0033,SKU0010,5,129.25,0.0,646.25
ORD001201,2024-07-02,ACC0030,SKU0007,9,42.29,0.0,380.61
ORD001790,2024-07-02,ACC0037,SKU0002,1,42.8,5.0,40.66
ORD000776,2024-07-03,ACC0019,SKU0004,12,41.32,0.0,495.84
ORD000364,2024-07-03,ACC0018,SKU0012,14,118.84,15.0,1414.2
ORD001986,2024-07-03,ACC0025,SKU0016,12,211.0,15.0,2152.2
ORD001779,2024-07-03,ACC0051,SKU0011,1,121.99,0.0,121.99
ORD001297,2024-07-03,ACC0038,SKU0012,20,124.34,10.0,2238.12
ORD001728,2024-07-03,ACC0058,SKU0026,2,25.7,20.0,41.12
ORD000271,2024-07-03,ACC0031,SKU0012,10,115.43,5.0,1096.59
ORD002506,2024-07-03,ACC0051,SKU0004,6,45.08,0.0,270.48
ORD001325,2024-07-03,ACC0056,SKU0029,3,24.07,0.0,72.21
ORD000565,2024-07-04,ACC0007,SKU0006,5,42.03,10.0,189.14
ORD002453,2024-07-04,ACC0033,SKU0022,7,38.1,0.0,266.7
ORD000845,2024-07-04,ACC0050,SKU0006,9,44.39,0.0,399.51
ORD001426,2024-07-05,ACC0046,SKU0016,4,211.86,0.0,847.44
ORD002344,2024-07-05,ACC0021,SKU0013,6,115.17,0.0,691.02
ORD000803,2024-07-05,ACC0023,SKU0008,4,42.66,15.0,145.04
ORD000744,2024-07-05,ACC0029,SKU0016,14,218.36,0.0,3057.04
ORD000978,2024-07-05,ACC0054,SKU0026,3,24.08,0.0,72.24
ORD000483,2024-07-05,ACC0011,SKU0015,6,204.88,0.0,1229.28
ORD000693,2024-07-06,ACC0041,SKU0002,8,45.22,15.0,307.5
ORD002163,2024-07-06,ACC0012,SKU0001,8,44.9,0.0,359.2
ORD001574,2024-07-07,ACC0039,SKU0015,7,208.71,0.0,1460.97
ORD001651,2024-07-07,ACC0052,SKU0016,6,219.77,0.0,1318.62
ORD001124,2024-07-07,ACC0043,SKU0003,13,40.8,0.0,530.4
ORD002277,2024-07-07,ACC0036,SKU0016,10,200.87,0.0,2008.7
ORD001270,2024-07-08,ACC0016,SKU0014,7,218.3,5.0,1451.7
ORD000194,2024-07-08,ACC0060,SKU0018,3,208.95,0.0,626.85
ORD001402,2024-07-09,ACC0040,SKU0010,7,125.54,0.0,878.78
ORD001922,2024-07-10,ACC0021,SKU0022,11,36.87,0.0,405.57
ORD001797,2024-07-10,ACC0010,SKU0015,4,218.62,0.0,874.48
ORD001772,2024-07-10,ACC0017,SKU0022,38,37.75,0.0,1434.5
ORD000609,2024-07-10,ACC0049,SKU0022,6,39.03,5.0,222.47
ORD000228,2024-07-10,ACC0049,SKU0017,11,207.58,5.0,2169.21
ORD002371,2024-07-11,ACC0051,SKU0029,14,23.42,0.0,327.88
ORD001993,2024-07-11,ACC0019,SKU0015,4,212.1,10.0,763.56
ORD001529,2024-07-11,ACC0050,SKU0018,9,210.13,5.0,1796.61
ORD002162,2024-07-11,ACC0040,SKU0011,12,125.7,5.0,1432.98
ORD000916,2024-07-11,ACC0020,SKU0017,12,217.8,0.0,2613.6
ORD000770,2024-07-11,ACC0031,SKU0028,5,24.46,5.0,116.19
ORD001973,2024-07-12,ACC0028,SKU0006,6,41.11,0.0,246.66
ORD000684,2024-07-12,ACC0057,SKU0022,16,37.21,5.0,565.59
ORD001460,2024-07-12,ACC0037,SKU0004,4,40.44,0.0,161.76
ORD001684,2024-07-12,ACC0055,SKU0023,24,37.07,0.0,889.68
ORD001890,2024-07-12,ACC0011,SKU0010,7,123.2,0.0,862.4
ORD000059,2024-07-12,ACC0001,SKU0023,12,40.46,0.0,485.52
ORD000661,2024-07-12,ACC0039,SKU0003,5,41.14,0.0,205.7
ORD000375,2024-07-13,ACC0005,SKU0012,3,125.44,0.0,376.32
ORD001382,2024-07-13,ACC0054,SKU0014,8,202.57,0.0,1620.56
ORD000587,2024-07-13,ACC0019,SKU0013,2,114.73,0.0,229.46
